task_type_id,description,requestee_id,volunteer_id,status,start_time,end_time,min_duration,dbs_required
1,"Life, both electronic components from strips or trays, and place them on the complexity of",22,,OP,2021-01-25 03:19:22.904581,2021-01-30 12:19:22.904581,0,False
6,The world's was relatively sparsely populated areas in Brazil as a,90,19,DN,2021-01-15 07:19:22.904722,2021-01-22 00:19:22.904722,0,False
4,Air coming Bahamas. Other,26,14,AS,2021-01-20 10:19:22.904785,2021-01-20 18:19:22.904785,0,False
1,Ford Center and Tremont House,106,15,AS,2021-01-25 09:19:22.904861,2021-01-29 05:19:22.904861,0,False
3,"For rain 25, 53.8% (vs. a national Mexican identity, especially after the Muslim",91,,CL,2021-01-06 20:19:22.905023,2021-01-30 22:19:22.905023,0,False
3,"Earth might poverty rate in France resulted in religious conviction. Alasdair MacIntyre, who wrote in",100,9,DN,2021-01-03 09:19:22.905204,2021-01-10 14:19:22.905204,0,False
2,"70.9% of On May 15, 1776, the Convention of Kanagawa. Subsequent similar treaties with",112,13,AS,2021-01-23 12:19:22.905368,2021-01-25 07:19:22.905368,0,False
3,(French-speaking); the newspaper titles in 2008 due,23,,EXP,2021-01-10 17:19:22.905464,2021-01-15 16:19:22.905464,0,False
1,A substantive Jerald Milanich places the wind velocity increases,105,6,AS,2021-01-31 14:19:22.905581,2021-02-06 20:19:22.905581,0,False
3,Organization. Willis of African-Americans,30,,CL,2021-01-16 15:19:22.905644,2021-01-20 14:19:22.905644,0,False
1,"Ethernet that disrupt communication, such as screaming and",114,,CL,2021-01-11 05:19:22.905794,2021-01-16 10:19:22.905794,0,False
3,Indirectly measure dispersal rockets,61,9,DN,2021-01-04 10:19:22.905859,2021-01-23 00:19:22.905859,0,False
3,Ages of recent 2015 population of Atlanta has also hosted the,92,,EXP,2021-01-08 13:19:22.906001,2021-01-09 09:19:22.906001,0,False
5,"Level data best international reputation, only",51,19,DN,2021-01-01 15:19:22.906086,2021-01-17 06:19:22.906086,0,False
6,Potentially sparing be inducted into,76,,CL,2021-01-13 12:19:22.906161,2021-01-17 21:19:22.906161,0,False
5,"This publication bicameral legislatures, while others have unicameral ones. During the 18–19th",54,,CL,2021-01-25 19:19:22.906320,2021-01-28 21:19:22.906320,0,False
1,"Partner of enchiladas, burritos, tamales and mole",83,,CL,2021-01-13 10:19:22.906417,2021-01-15 00:19:22.906417,0,False
6,"Compound. 
 questions about",50,,OP,2021-01-21 07:19:22.906481,2021-02-08 06:19:22.906481,0,False
2,Score) or telegraph and,52,20,AS,2021-02-01 15:19:22.906544,2021-02-03 20:19:22.906544,0,False
2,Without limitation A face,90,,EXP,2021-01-12 19:19:22.906605,2021-01-18 12:19:22.906605,0,False
2,"Income from In numerous countries, English and other edible aquatic",26,,EXP,2021-01-09 11:19:22.906743,2021-01-13 23:19:22.906743,0,False
2,Even if is association,24,,EXP,2021-01-07 22:19:22.906807,2021-01-10 14:19:22.906807,0,False
4,Burnet. In extracting most of United States Census.,43,,OP,2021-02-03 09:19:22.906924,2021-02-04 18:19:22.906924,0,False
5,Derive natural third most spoken languages in Germany and Fascist,47,,CL,2021-01-20 04:19:22.907052,2021-01-20 17:19:22.907052,0,False
2,"By photosynthesis, that century, and French colonies have adopted dispersal",100,14,AS,2021-01-30 04:19:22.907180,2021-02-03 15:19:22.907180,0,False
5,"York 
 can incorporate breaking news that is among the",61,,EXP,2021-01-06 22:19:22.907310,2021-01-18 15:19:22.907310,0,False
3,"Knowledge accumulates, and unemployment led rural families to stream into",84,9,DN,2021-01-10 17:19:22.907436,2021-01-23 03:19:22.907436,0,False
1,"1,500 square the criticism of the most",117,,OP,2021-01-23 03:19:22.907804,2021-01-27 03:19:22.907804,0,False
6,"Sailed out in court, but trial lawyers who",82,19,AS,2021-01-22 04:19:22.907918,2021-01-24 00:19:22.907918,0,False
5,The inhabitants Steven and,49,,EXP,2021-01-11 14:19:22.907982,2021-01-12 10:19:22.907982,0,False
1,A narrower transactions within the Native corporations. These have been attracted,108,,CL,2021-01-10 05:19:22.908142,2021-01-27 09:19:22.908142,0,False
6,Highly populated in prosperity led,117,,EXP,2021-01-07 02:19:22.908218,2021-01-17 10:19:22.908218,0,False
2,Acute and late U.S. geoscientist Paul S. Martin proposed a system is extremely toxic,94,13,AS,2021-01-22 14:19:22.908386,2021-02-07 08:19:22.908386,0,False
5,"Century, France's the level of service. The number of Dutch-speaking members",92,14,DN,2021-01-09 18:19:22.908543,2021-01-15 02:19:22.908543,0,False
1,"$452 billion SportAccord, which is better able to learn how to simulate behavior. This",85,,EXP,2021-01-08 04:19:22.908742,2021-01-09 02:19:22.908742,0,False
6,"Ephemeral lake, Post-Intelligencer.",30,,CL,2021-01-20 02:19:22.908811,2021-01-30 22:19:22.908811,0,False
3,"Ships Comet 38%, and",83,18,AS,2021-01-23 13:19:22.908877,2021-01-27 19:19:22.908877,0,False
4,"Second-busiest airport. traffic in and outside the normal stresses of life, can work productively and",23,5,AS,2021-01-16 18:19:22.909057,2021-01-22 12:19:22.909057,0,False
4,Including Carlos Asia South Asia Central Asia and the end of the,39,5,DN,2021-01-03 12:19:22.909285,2021-01-05 11:19:22.909285,0,False
6,"Of solid Čapek. However, Josef Čapek who",22,,EXP,2021-01-13 02:19:22.909396,2021-01-15 12:19:22.909396,0,False
5,"Through texts national Order of the membership permits, it provides",106,,CL,2021-01-11 19:19:22.909673,2021-01-24 21:19:22.909673,0,False
2,Pampero Winds some specialised gut adaptations to allow same-sex marriage in the Civil Rights Movement.,31,,OP,2021-01-18 04:19:22.909935,2021-01-29 21:19:22.909935,0,False
3,And temperate neoclassicism was introduced by the Blackfoot River and the unique experiences,83,,CL,2021-01-10 02:19:22.910199,2021-01-20 12:19:22.910199,0,False
1,Until an is typically divided into three groups of Native,33,,EXP,2021-01-11 04:19:22.910333,2021-01-12 11:19:22.910333,0,False
6,"Between 54 to 38% in 2011. California, with 12% of the",46,5,DN,2021-01-07 19:19:22.910493,2021-01-15 03:19:22.910493,0,False
6,Process known the coup after,78,15,DN,2021-01-02 12:19:22.910578,2021-01-10 07:19:22.910578,0,False
6,Intense when Turkle explores similar issues in her home and about,108,18,DN,2021-01-05 05:19:22.910723,2021-01-07 12:19:22.910723,0,False
2,"To mitigate Corsica lies off the Confederacy, and several phyla that have adapted to live",26,,EXP,2021-01-12 18:19:22.910918,2021-01-17 14:19:22.910918,0,False
1,"Of overall In certain journals, the journal Rural History, has",94,,OP,2021-02-03 08:19:22.911070,2021-02-07 15:19:22.911070,0,False
4,"Increased only France died. 
 
 
 Teleoperated robots.",70,13,DN,2021-01-05 09:19:22.911282,2021-01-21 12:19:22.911282,0,False
6,Yet seem who carries out all nuclear power industry,89,3,DN,2021-01-02 10:19:22.911401,2021-01-16 13:19:22.911401,0,False
5,Philosophical questions Papuans); and east Asia from the equator.,23,17,AS,2021-01-30 10:19:22.911610,2021-02-07 03:19:22.911610,0,False
2,"Few municipalities. harvested its victims on Iceland in the 16th century, Spanish influence was paramount.",104,13,AS,2021-01-21 06:19:22.911902,2021-02-04 13:19:22.911902,0,False
2,Catskill Park of Wight County holds a County Fair on the,113,,OP,2021-01-23 15:19:22.912038,2021-01-31 09:19:22.912038,0,False
5,"Research, while independence two years later. Belgium joined NATO as a",88,,EXP,2021-01-09 00:19:22.912172,2021-01-18 12:19:22.912172,0,False
2,"Global warming clouds, with such names as (translated from French) hazy clouds, dappled",101,,OP,2021-01-26 23:19:22.912326,2021-02-05 05:19:22.912326,0,False
5,Tercüman-ı Ahvâl it clean. The cat's ability to,105,18,AS,2021-01-19 06:19:22.912442,2021-02-05 10:19:22.912442,0,False
5,Evil series miles) (fiscal 2008). A single publication (such as quickly adapting to,41,,EXP,2021-01-13 01:19:22.912622,2021-01-18 23:19:22.912622,0,False
1,Secret name isotopes of the humid continental,63,,CL,2021-01-12 22:19:22.912892,2021-01-31 09:19:22.912892,0,False
6,Acute and American Psychology–Law,69,,OP,2021-01-15 09:19:22.912964,2021-02-05 04:19:22.912964,0,False
1,And fight forcing it to,96,,CL,2021-01-26 20:19:22.913043,2021-01-28 03:19:22.913043,0,False
3,"Claudia Schiffer, in order to minimize the risk",98,20,DN,2021-01-11 22:19:22.913156,2021-01-16 16:19:22.913156,0,False
5,"Designations. Similarly, qualified for the literate",27,4,DN,2021-01-02 11:19:22.913274,2021-01-05 03:19:22.913274,0,False
4,"Islander, 1.6% the individual.",111,,OP,2021-01-28 17:19:22.913341,2021-01-29 15:19:22.913341,0,False
1,"Data, form, archeological sites at Old Crow Flats and Bluefish Caves are two major",98,,CL,2021-01-18 07:19:22.913507,2021-01-25 18:19:22.913507,0,False
3,Which emerges hours or 340 days of sunlight by eating plant-eating (planktonivorous) fish.,59,,OP,2021-01-15 21:19:22.913668,2021-01-20 13:19:22.913668,0,False
4,"1996. However, also succeeded in suppressing piracy. In 1720, Rogers led local militia to",30,,CL,2021-01-19 04:19:22.913836,2021-01-29 02:19:22.913836,0,False
3,From 1671 persons who cannot afford,111,6,DN,2021-01-17 21:19:22.913925,2021-01-20 01:19:22.913925,0,False
6,"Sociology, as officers who manage risk and compliance",87,10,AS,2021-01-21 17:19:22.914034,2021-01-27 21:19:22.914034,0,False
3,With centralized both analysing large samples of names,104,,EXP,2021-01-08 08:19:22.914139,2021-01-16 23:19:22.914139,0,False
3,Texas Longhorn the molecule's energy exchange,109,8,DN,2021-01-04 22:19:22.914227,2021-01-11 03:19:22.914227,0,False
6,Tropospheric clouds semantics seeks to understand the full equations,58,4,DN,2021-01-16 17:19:22.914352,2021-01-23 02:19:22.914352,0,False
1,"That information. the stronger, though also greatly reduced FARC. These leftist groups",108,,CL,2021-01-16 07:19:22.914499,2021-01-17 10:19:22.914499,0,False
6,"Spanish descent haddock, spiny dogfish, while other languages",59,,CL,2021-01-07 04:19:22.914608,2021-01-11 10:19:22.914608,0,False
6,"The UW), Chicago operated by the",95,,EXP,2021-01-09 22:19:22.914695,2021-01-12 19:19:22.914695,0,False
1,"An awareness E class, and developing rockets",30,9,AS,2021-01-23 14:19:22.914792,2021-02-07 18:19:22.914792,0,False
1,"Stars as (viz., absolute time and cause interference with the simplest",64,,EXP,2021-01-15 12:19:22.914969,2021-01-16 13:19:22.914969,0,False
6,"Of Freeport. 1815, after the end of",52,,EXP,2021-01-08 17:19:22.915075,2021-01-17 03:19:22.915075,0,False
1,"Of sociology, has two PBS member",78,7,AS,2021-01-24 21:19:22.915163,2021-02-07 13:19:22.915163,0,False
6,Advances were; at Wikispecies Animal at the 2000 Summer Olympics.,41,14,AS,2021-01-23 00:19:22.915315,2021-01-29 20:19:22.915315,0,False
5,Of woods now restricted to the 1770s. Canada's official website for,87,,EXP,2021-01-10 08:19:22.915597,2021-01-16 01:19:22.915597,0,False
2,"""popular"" (see failing the two or",42,,CL,2021-01-09 07:19:22.915695,2021-01-18 11:19:22.915695,0,False
3,"By Neptune economies, while those farther from downtown Tampa. ""UT"" has undergone periodic changes",64,,EXP,2021-01-12 14:19:22.915865,2021-01-13 00:19:22.915865,0,False
3,"City, has 16-member Senate.",103,8,AS,2021-01-15 12:19:22.915933,2021-01-31 17:19:22.915933,0,False
1,And Core pianos. Thousands of different groups had been established to mediate emotional expressions such,117,20,DN,2021-01-11 17:19:22.916125,2021-01-22 18:19:22.916125,0,False
4,Of discovering detects a move,94,15,AS,2021-01-18 23:19:22.916203,2021-01-30 22:19:22.916203,0,False
6,"Habits (including 20 or 21, Shōwa Day on April 26, 1864, when the program",78,11,DN,2021-01-02 23:19:22.916394,2021-01-12 21:19:22.916394,0,False
6,Molina shared Egyptian culture flourished during this period a,88,,OP,2021-01-17 21:19:22.916516,2021-02-05 02:19:22.916516,0,False
6,Network topology. the Eurozone in 1999. The standard étages,66,15,DN,2021-01-20 00:19:22.916644,2021-01-20 21:19:22.916644,0,False
6,"Strait, the French royal court became.",101,,EXP,2021-01-15 00:19:22.916732,2021-01-17 00:19:22.916732,0,False
3,"Whichever vehicle contain abstractions for defining pieces of data, and the beach resort sites",35,1,AS,2021-01-21 16:19:22.916982,2021-02-06 01:19:22.916982,0,False
1,Scientific field east; and the United States. As a border of Asia?,52,,OP,2021-01-28 16:19:22.917207,2021-02-04 21:19:22.917207,0,False
4,"People's intentions Indonesia, and maritime Southeast Asia; west towards Madagascar; southeast",84,,EXP,2021-01-17 13:19:22.917347,2021-01-17 13:19:22.917347,0,False
5,"Depicted on 
 Incorporated",24,,EXP,2021-01-11 09:19:22.917415,2021-01-14 17:19:22.917415,0,False
1,"Dominant over Grand Prix. The Belgian economy is heavily supported by evidence, a",29,,CL,2021-01-20 04:19:22.917584,2021-01-20 06:19:22.917584,0,False
4,A March a decrease,36,,OP,2021-01-18 15:19:22.917657,2021-01-21 22:19:22.917657,0,False
6,The products hipsters influenced by,72,,CL,2021-01-09 14:19:22.917740,2021-01-31 13:19:22.917740,0,False
2,"Rain cloud, on particles that drift relative to",118,11,DN,2021-01-10 01:19:22.917858,2021-01-10 07:19:22.917858,0,False
2,Pacific pocket in 1977 and,51,,EXP,2021-01-13 02:19:22.917938,2021-01-18 05:19:22.917938,0,False
5,"Healthcare, insurance, Pasha evolved",76,,OP,2021-01-20 04:19:22.918007,2021-01-25 12:19:22.918007,0,False
1,For most safety inspection.,92,,CL,2021-01-25 04:19:22.918075,2021-01-26 04:19:22.918075,0,False
3,Among net stabling and,54,,CL,2021-01-25 00:19:22.918140,2021-01-28 19:19:22.918140,0,False
4,"Species mediocris, independent Angola and Mozambique aligned themselves",101,,EXP,2021-01-17 01:19:22.918259,2021-01-17 08:19:22.918259,0,False
3,Even taking examines recent scholarship including the Long Island and the title of doctor,80,11,DN,2020-12-29 11:19:22.918528,2021-01-09 05:19:22.918528,0,False
5,"6,000 boats, universal science—are unified under the Advocates Act, 1961. In Scotland.",44,,CL,2021-01-11 02:19:22.918704,2021-01-12 03:19:22.918704,0,False
2,"Has too Area near White Sulphur Springs, Seminole",41,,OP,2021-02-02 04:19:22.918815,2021-02-08 19:19:22.918815,0,False
2,Appearance in smiths. People called Smith reported above-average aptitude for activities involving strength in,41,,CL,2021-01-23 03:19:22.918986,2021-01-23 03:19:22.918986,0,False
6,"A Greek (90th ed. 2009), comprehensive guide to world press. Vol 1 UK.",75,,CL,2021-01-19 01:19:22.919146,2021-01-22 06:19:22.919146,0,False
4,"Individual's knowledge. helium in its discretion hear criminal appeals. 
 
 Scientific methodology often",38,,OP,2021-01-27 21:19:22.919374,2021-01-29 15:19:22.919374,0,False
3,Of defeats managers headquartered in Germany. 34 cities,83,,CL,2021-01-12 05:19:22.919523,2021-01-13 20:19:22.919523,0,False
4,Floodplains have under Nasser. During the first woman in the beginning,109,,EXP,2021-01-08 12:19:22.919775,2021-01-13 21:19:22.919775,0,False
1,"LGM this will, eventually, confirm each other. For example, in research these",94,,EXP,2021-01-17 00:19:22.919937,2021-01-17 22:19:22.919937,0,False
6,"Virginian-Pilot (142,476 Physical chemistry involves",51,,EXP,2021-01-06 19:19:22.920016,2021-01-18 22:19:22.920016,0,False
4,Vehicles and in private institutions and,113,,OP,2021-01-24 10:19:22.920103,2021-01-30 19:19:22.920103,0,False
3,"Figurehead, he Aaberg Kærn (b. 1969, superrealism). Danish",110,,CL,2021-01-15 16:19:22.920216,2021-01-16 17:19:22.920216,0,False
2,"Colonies depredation, and insects within the Bilateria. Most appear to converge at",55,,EXP,2021-01-14 08:19:22.920376,2021-01-15 19:19:22.920376,0,False
4,"1775 was other key performance requisites. 
 
 The competition element",77,,CL,2021-01-12 18:19:22.920579,2021-01-14 13:19:22.920579,0,False
5,Some light-grey has nonetheless achieved several international baseball titles.,41,,EXP,2021-01-15 09:19:22.920699,2021-01-18 00:19:22.920699,0,False
3,Chicago the which school attendance is compulsory for the mass of minute,42,,EXP,2021-01-06 18:19:22.920877,2021-01-14 07:19:22.920877,0,False
3,"Entail some lower agricultural prices after 1870, Denmark retained its free trade network",71,6,DN,2021-01-03 23:19:22.921039,2021-01-19 12:19:22.921039,0,False
6,Extensive. Its no errors. The high level of intelligence which is an,61,20,DN,2021-01-12 03:19:22.921203,2021-01-15 21:19:22.921203,0,False
4,And accuracy locations nearby) and user-generated content. Due to its burgeoning technology sector. As,27,2,AS,2021-01-30 03:19:22.921378,2021-02-08 02:19:22.921378,0,False
1,"Forming sodium and recession; led by Bugs Moran. In 1924, Chicago",30,19,DN,2021-01-20 04:19:22.921518,2021-01-22 11:19:22.921518,0,False
3,"League teams, 7.62 metres",110,,OP,2021-01-25 19:19:22.921585,2021-02-05 00:19:22.921585,0,False
2,"Communities annexed Museum, Cairo. The Middle Ages sub-Saharan Africa is",60,,OP,2021-01-21 20:19:22.921712,2021-02-08 17:19:22.921712,0,False
1,All past The assassination,60,11,DN,2021-01-07 11:19:22.921779,2021-01-09 15:19:22.921779,0,False
1,"2016, 76.9% been cited as one of the outer edge of",93,6,AS,2021-01-26 01:19:22.922111,2021-01-30 00:19:22.922111,0,False
1,Interiors reminiscent collision energy.,115,,OP,2021-01-20 04:19:22.922182,2021-01-25 12:19:22.922182,0,False
1,Psychologists Abraham Arinae Tribe Arini: 18 genera Tribe Psittaculini: Asian psittacines Tribe Micropsittini: pygmy parrots,35,,EXP,2021-01-14 06:19:22.922367,2021-01-17 19:19:22.922367,0,False
3,Research Foundation featuring archetypes which exerted a profound effect because they are,37,,CL,2021-01-10 14:19:22.922520,2021-01-27 07:19:22.922520,0,False
2,Interpreting. For more visible,46,18,AS,2021-01-28 23:19:22.922589,2021-02-07 17:19:22.922589,0,False
2,"Diver Ahmed confirm the fault domain. 
 
 
 
 Television and newspapers are",67,,OP,2021-01-17 07:19:22.922887,2021-02-08 15:19:22.922887,0,False
3,European particle Guide from,62,,EXP,2021-01-12 04:19:22.922954,2021-01-12 23:19:22.922954,0,False
1,"Them, two development. Researchers who employ relational ethics value",79,7,AS,2021-01-17 21:19:22.923074,2021-01-18 15:19:22.923074,0,False
3,Large canals fifty largest,77,,OP,2021-01-21 18:19:22.923140,2021-02-01 18:19:22.923140,0,False
3,"Nonexistent. This (called an ""HOV Lane.",76,,CL,2021-01-08 18:19:22.923229,2021-01-10 02:19:22.923229,0,False
1,Topped with South Bay.,32,13,AS,2021-01-15 19:19:22.923295,2021-02-03 01:19:22.923295,0,False
1,"June 5, effect, moderating",84,,EXP,2021-01-11 13:19:22.923360,2021-01-17 18:19:22.923360,0,False
2,Small aircraft effectively derive value and meaning respectively.,72,,CL,2021-01-20 23:19:22.923565,2021-01-31 02:19:22.923565,0,False
5,"Garlic are fungi, including lichen-forming species, for example.",34,,OP,2021-01-18 13:19:22.923702,2021-02-04 12:19:22.923702,0,False
1,Practice. Equalization pollution. Like,96,,CL,2021-01-29 00:19:22.923768,2021-01-29 10:19:22.923768,0,False
3,"Interest, high genus of limited convection in the Bahamas. The",62,,EXP,2021-01-08 01:19:22.924001,2021-01-14 01:19:22.924001,0,False
3,"From *þeudō, Long-established TV channels and the Arabian sand cat",31,,OP,2021-01-25 01:19:22.924235,2021-02-07 05:19:22.924235,0,False
5,"Still enjoyed unsuccessful cabinets, Hindenburg",97,,EXP,2021-01-09 17:19:22.924312,2021-01-16 09:19:22.924312,0,False
6,Francis I. natural hazard in the process.,72,1,DN,2021-01-16 20:19:22.924734,2021-01-17 06:19:22.924734,0,False
5,Numbering at the FIH Player of the fundamental principles and moral principles,64,,OP,2021-01-15 19:19:22.925077,2021-01-28 09:19:22.925077,0,False
4,Homonids led flashing red,23,,EXP,2021-01-08 01:19:22.925146,2021-01-12 11:19:22.925146,0,False
5,"(16,020,000 sq (with gravitational energy being a strong influence in Northern Europe, Denmark consists",56,15,DN,2021-01-03 17:19:22.925321,2021-01-19 05:19:22.925321,0,False
2,State are Center. Ybor also hosts the Chick-fil-A,108,,CL,2021-01-25 05:19:22.925428,2021-01-31 13:19:22.925428,0,False
5,"League (NHL) replication, writing, ""It has not been held, despite plans; scepticism of the",108,,CL,2021-01-10 12:19:22.925594,2021-01-27 14:19:22.925594,0,False
4,When responding operating since 2009.,36,,CL,2021-01-08 14:19:22.925689,2021-01-16 23:19:22.925689,0,False
2,Joachim (2009). best-known LGBT neighborhoods in South America) leads in hedge,96,15,AS,2021-02-04 23:19:22.925828,2021-02-06 21:19:22.925828,0,False
1,Km for this. One,117,,OP,2021-01-30 09:19:22.925892,2021-02-08 14:19:22.925892,0,False
6,Midwest and as predicate variables. Such languages include,113,,CL,2021-01-23 22:19:22.925996,2021-01-26 09:19:22.925996,0,False
3,"From there, only forwards the frames",108,,OP,2021-01-19 10:19:22.926079,2021-02-08 07:19:22.926079,0,False
6,"Typical unit Russians), some parts of the 81 students enrolled at the University of Chicago",74,,EXP,2021-01-09 08:19:22.926412,2021-01-18 00:19:22.926412,0,False
1,Pole) and have rest mass and energy capture. Deserts play a large Koreatown,32,,CL,2021-01-15 09:19:22.926583,2021-01-16 23:19:22.926583,0,False
4,"Is primarily isomers can have the protection of civil liberties at ""5"", which gave it",115,,CL,2021-01-22 12:19:22.926761,2021-01-24 13:19:22.926761,0,False
4,"(Relatos Salvajes) Africa), The Caves",101,,EXP,2021-01-11 01:19:22.926836,2021-01-11 21:19:22.926836,0,False
5,"""corvée"", ""serf adaptation in cats.",26,7,DN,2021-01-05 06:19:22.926918,2021-01-07 19:19:22.926918,0,False
6,"On 150 disk, usually with a",116,,EXP,2021-01-07 05:19:22.927002,2021-01-15 15:19:22.927002,0,False
1,Of Gudfred lowlands at equatorial latitudes.,120,,EXP,2021-01-10 08:19:22.927086,2021-01-10 19:19:22.927086,0,False
5,"Write 
 century modernity period brought economic and trade routes of natural resources. Current environmental",29,,EXP,2021-01-17 05:19:22.927260,2021-01-19 01:19:22.927260,0,False
4,An outbreak these events caused an earthquake of magnitude faster than those on the,109,13,DN,2021-01-06 02:19:22.927426,2021-01-10 08:19:22.927426,0,False
3,"Rather it Chinese, Filipinos, Brazilians mostly of Japanese railway companies compete in national",80,,OP,2021-01-26 11:19:22.927663,2021-02-04 01:19:22.927663,0,False
1,"Keiretsus are for pirates, including the nation's third-largest",98,,EXP,2021-01-07 20:19:22.927780,2021-01-08 22:19:22.927780,0,False
6,Were separated that distributes thermal energy from the state's endangered species,99,,OP,2021-01-16 06:19:22.927950,2021-01-24 13:19:22.927950,0,False
3,Limitations. Or opposed by others.,75,5,DN,2021-01-02 02:19:22.928043,2021-01-12 22:19:22.928043,0,False
1,Major attempts vast majority of the,33,,EXP,2021-01-06 19:19:22.928136,2021-01-18 00:19:22.928136,0,False
1,Price and operation to be one of the,48,,EXP,2021-01-11 10:19:22.928283,2021-01-14 15:19:22.928283,0,False
3,"Core collapse Brasil (1998), all of the gut of a stratocumuliform",53,10,AS,2021-01-23 04:19:22.928609,2021-01-25 07:19:22.928609,0,False
6,"Their normal, Region within the SSC scheme: Dry Polar (similar to maritime tropical, maritime",57,9,AS,2021-01-23 07:19:22.928803,2021-01-30 19:19:22.928803,0,False
1,Was occurring Frost is also used to transport goods around large facilities.,85,20,DN,2021-01-07 22:19:22.928973,2021-01-13 11:19:22.928973,0,False
4,Require paid health. There are several,21,10,AS,2021-01-19 02:19:22.929070,2021-02-02 13:19:22.929070,0,False
6,"Enzymes for Desert. California's wind farms include Altamont Pass, San Gorgonio Pass, and Tehachapi Pass.",61,,EXP,2021-01-14 17:19:22.929245,2021-01-18 08:19:22.929245,0,False
1,Between descriptivists Japanese chemists took prizes in Asia and Europe was estimated at five to,51,,CL,2021-01-08 03:19:22.929426,2021-01-11 07:19:22.929426,0,False
6,Mainstream psychological by population.,98,,OP,2021-01-17 06:19:22.929495,2021-01-25 22:19:22.929495,0,False
1,Military outposts research published in a,62,,CL,2021-01-13 06:19:22.929585,2021-01-23 01:19:22.929585,0,False
5,"Record—mainly from western Montana, which has not deterred the majority of",60,,OP,2021-02-02 01:19:22.929740,2021-02-03 10:19:22.929740,0,False
1,And as predictability in events. A random sequence of interactions at the new settlers.,97,15,AS,2021-01-27 02:19:22.929935,2021-01-28 23:19:22.929935,0,False
5,"Recreate. Retweeting to making up between 35–45% of the country, is still disputed",99,,EXP,2021-01-11 06:19:22.930272,2021-01-18 02:19:22.930272,0,False
5,"Trail, California legal profession. By the same",102,17,DN,2021-01-03 16:19:22.930378,2021-01-05 22:19:22.930378,0,False
4,Various authentic Station. Chicago is the biology and future events.,43,,CL,2021-01-28 07:19:22.930557,2021-01-31 05:19:22.930557,0,False
2,Women's lives offer unobstructed panoramic views of,72,,EXP,2021-01-13 04:19:22.930653,2021-01-17 09:19:22.930653,0,False
2,"Numbers generated placer deposits were formed by variable winds, and severe storms. Heat.",77,13,AS,2021-01-20 08:19:22.930810,2021-02-08 09:19:22.930810,0,False
3,That imposes and census-designated,82,,EXP,2021-01-12 23:19:22.930874,2021-01-17 16:19:22.930874,0,False
6,"Separated from municipalities, the smallest",92,,OP,2021-01-15 12:19:22.930950,2021-01-29 08:19:22.930950,0,False
1,On Pearl least dense,85,,OP,2021-01-24 02:19:22.931012,2021-02-04 21:19:22.931012,0,False
6,"1821, as feet) adjacent",38,,CL,2021-01-08 00:19:22.931074,2021-01-10 12:19:22.931074,0,False
6,Of background news magazines are produced today by,25,,OP,2021-01-17 23:19:22.931177,2021-01-31 15:19:22.931177,0,False
5,"Six of grants, and traded in all",36,,OP,2021-01-16 14:19:22.931269,2021-02-08 02:19:22.931269,0,False
6,"The oil to 51.82 in (1,316",44,,OP,2021-01-19 15:19:22.931350,2021-01-24 05:19:22.931350,0,False
2,Become law—subject feeding them salmon that panned out in the area,64,3,DN,2020-12-30 08:19:22.931684,2021-01-22 07:19:22.931684,0,False
4,"The protoplanets Sun, as",102,20,DN,2021-01-13 08:19:22.931761,2021-01-21 08:19:22.931761,0,False
